ZINC02780389	Cc1nn(C)cc1C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC48412316	Cc1c(C(N)=O)sc2nc(C[C@H]3CCCO3)[nH]c(=O)c12
ZINC48421039	Cc1cc(C(=O)NNC(=O)C(=O)NC(C)C)sc1C
ZINC48941976	CNC(=O)NC(C)(C)C(=O)N[C@@H](C)c1sc(C)nc1C
ZINC49281932	CCC(C)(C)NC(=O)Cn1c(=O)oc2ccc(N)cc21
ZINC50252678	Cc1nc(S(=O)(=O)N[C@@H](C)c2ccccc2N)cn1C
ZINC50306003	Cc1[nH]nc(C(=O)N2CCN(CC(F)(F)F)CC2)c1N
ZINC51037737	Cc1nnc(S[C@H](C)C(=O)Nc2ccc(F)cc2N)o1
ZINC51587129	NC(=O)[C@@H]1CN(C(=O)Nc2cc(F)cc(F)c2)CCO1
ZINC51687632	Cc1ccsc1CNC(=O)N1CCO[C@H](C(N)=O)C1
ZINC51711520	C[C@@H](Cc1ccsc1)NC(=O)N1CCO[C@H](C(N)=O)C1
ZINC51711522	C[C@@H](Cc1ccsc1)NC(=O)N1CCO[C@@H](C(N)=O)C1
ZINC52016017	CNc1cc(S(=O)(=O)N[C@@H]2CCCC[C@H]2O)ccn1
ZINC54636731	C#CCN(C)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC55185778	Cc1c([C@H](C)NC(=O)c2csc(N)n2)cnn1C
ZINC40739534	Cc1cccc(N)c1NC(=O)CN1C(=O)C[C@H](C)C1=O
ZINC59669553	C[C@@H]1Nc2ncnn2[C@@H](c2ccccc2F)[C@H]1C(N)=O
ZINC61091877	Cc1cc([C@H](C)NC(=O)Cn2cc(N)ccc2=O)c(C)o1
ZINC61373452	C[C@H](NS(=O)(=O)c1cnc(N)nc1)c1ccsc1
ZINC62006830	CC(C)NC(=O)c1nsc(C(=O)N2CCCC2)c1N
ZINC62133037	NS(=O)(=O)c1ccccc1[N@@H+]1CC[C@H](C(=O)[O-])C1
ZINC62133038	NS(=O)(=O)c1ccccc1[N@@H+]1CC[C@@H](C(=O)[O-])C1
ZINC62431361	Nc1cncc(S(=O)(=O)N2CCCC[C@@H]2CCO)c1
ZINC62702802	Oc1ccc(C[NH2+]Cc2nnn[n-]2)cc1Br
ZINC62748824	CNC(=O)NC(=O)[C@H](C)Oc1cc(F)ccc1[C@@H](C)O
ZINC62847388	CCCC1(C(=O)[O-])CCN(C(=O)N2CC[C@@H](C[NH3+])C2)CC1
ZINC03991475	C[C@@H]1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1
ZINC00707183	N#CC1=C(N)N(c2ccccc2C#N)C2=C(C(=O)CCC2)[C@@H]1c1ccc2c(c1)OCO2
ZINC04728129	C=CCN1C(=O)[C@@]2(C(C#N)=C(N)Oc3c2c(=O)n(C)c2ccccc32)c2ccccc21
ZINC02334802	CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C21CCN(C(=O)OC(C)(C)C)CC1
ZINC02868905	C=CCN1C(=O)[C@@]2(C(C#N)=C(N)Oc3ccccc32)c2c1c1ccccc1oc2=O
ZINC05496204	Cc1cc2nc3c([C@@H]4OC[C@@H](O)[C@@H]4O)nn(-c4ccccc4)c3nc2cc1C
ZINC05590273	Cc1ccsc1[C@H]1C(C#N)=C(N)N(c2ccc([N+](=O)[O-])cc2)C2=C1C(=O)CCC2
ZINC06921259	O=C1Nc2ccccc2[C@@](O)(C(=O)N2CCOCC2)N1c1ccc(Cl)cc1
ZINC07126442	C[C@H]1CC[C@]2(CC1)NC(=O)N(NC(=O)COc1ccc(F)c(Cl)c1)C2=O
ZINC09520381	Cc1cc(C)c(NC(=O)CSc2nnc3[nH]c(=O)c4c(n23)CCCC4)c(C)c1
ZINC09659597	Cc1ccc(Cl)cc1NC(=O)c1cn(C)c2c(=O)n(-c3ccccc3)c(=O)[nH]c12
ZINC09901208	C[C@@H]1CCCC[C@@]12NC(=O)N(CC(=O)N1CCc3[nH]c4ccccc4c3C1)C2=O
ZINC14439315	C=C(CO)[C@@H]1Cc2cc3c(cc2O1)OC[C@]1(O)c2cc4c(cc2O[C@H]31)OCO4
ZINC19460585	COC(=O)[C@]1(C)N[C@H](c2ccc(O)cc2)[C@H]2C(=O)N(c3ccc(F)cc3)C(=O)[C@@H]21
ZINC19460609	COC(=O)[C@]1(C)N[C@H](c2ccc(O)cc2)[C@H]2C(=O)N(c3ccccc3F)C(=O)[C@@H]21
ZINC19462100	C[C@H]1Oc2ccc(NC(=O)[C@@]3(C)CC(c4ccccc4Cl)=NO3)cc2NC1=O
ZINC19961512	N#C[C@@H]1C(=O)Nc2nc(N3CCCC3)[nH]c(=O)c2[C@@H]1c1cccc2ccccc12
ZINC20479776	N#CC1=c2oc(=O)/c(=C\c3cccs3)n2-c2oc(N)nc2[C@H]1c1cccs1
ZINC20864808	Cc1ccc(NC(=O)NCc2ccc(C(=O)N3CCOCC3)o2)cc1Cl
ZINC24945331	O=C(Nc1cc2c(cc1Br)OCCO2)c1n[nH]c(=O)c2ccccc12
ZINC28290028	Cc1cc2oc(C(=O)Nc3ccc4c(c3)NC(=O)[C@@H](C)O4)cc(=O)c2cc1C
ZINC31370838	Cc1ccc(-c2nc(C)c(C(=O)N[C@@H](C)c3ccc4c(c3)NC(=O)CO4)s2)o1
ZINC35306561	Cc1c(C(=O)Nc2cccc(S(=O)(=O)/N=C3/CCCN3)c2)oc2ccccc12
ZINC36437914	O=C(Nc1cccc(S(=O)(=O)/N=C2/CCCN2)c1)c1ccc2ncsc2c1
ZINC36882674	O=C(CN1C(=O)N[C@@]2(CCOc3ccccc32)C1=O)NCc1ccc(Cl)cc1
ZINC01331376	CCc1c(C)nc(N)n2c(SCC(=O)N3CCCc4ccccc43)nnc12
ZINC39549251	Cc1nc(C)c2c(C)c(C(=O)Nc3ccc4c(c3)NC(=O)[C@@H](C)O4)sc2n1
ZINC41545887	C[C@@]1(C(=O)Nc2cnn(Cc3ccccc3Cl)c2)Oc2ccccc2NC1=O
ZINC41547954	Cc1ccc2c(c1)NC(=O)[C@@](C)(C(=O)Nc1ccnn1[C@@H](C)c1ccccc1)O2
ZINC41547960	Cc1ccc2c(c1)NC(=O)[C@@](C)(C(=O)Nc1ccnn1[C@H](C)c1ccccc1)O2
ZINC41907749	Cc1nc2c(C(N)=O)ncn2c(C)c1CCC(=O)N1CC[C@@H](C)[C@@H]2CCCC[C@@H]21
ZINC43667141	C[C@@H]1CCCN(C(=O)Nc2cccc(S(=O)(=O)/N=C3\CCCCCN3)c2)C1
ZINC43771918	CCc1ccc(O)c2cc3c(nc12)-c1cc2c(c(=O)n1C3)COC(=O)[C@@]2(O)CC
ZINC44975382	O=C1CN(C(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3c([nH]c4ccccc34)C2)CCN1
ZINC47807198	C[C@H]1CN(c2ccccc2NC(=O)NC[C@@H]2COc3ccccc3O2)C[C@@H](C)O1
ZINC47852515	NC(=O)c1cc([N+](=O)[O-])cnc1Oc1cccc(I)c1
ZINC49472689	CC(C)(C)c1cc(=O)[nH]c2cc(NC(=O)Cn3c(=O)oc4ccccc43)ccc12
ZINC25724691	Cc1sc2nc(S[C@H](C)C(=O)NC(=O)NC(C)(C)C)n(C)c(=O)c2c1C
ZINC22021872	Cc1cccc(-n2c(=O)c3ccccc3n3c(S[C@H](C)C(N)=O)nnc23)c1C
ZINC17115229	O=C(NN1C(=O)NC2(CCCCC2)C1=O)[C@@H]1COc2ccc(Cl)cc2C1
ZINC17115230	O=C(NN1C(=O)NC2(CCCCC2)C1=O)[C@H]1COc2ccc(Cl)cc2C1
ZINC36358555	Cc1nn(-c2ccc(Cl)nn2)c2c1[C@@H](c1ccc(O)c(Cl)c1)CC(O)=N2
ZINC36358555	Cc1nn(-c2ccc(Cl)nn2)c2c1[C@@H](c1ccc(O)c(Cl)c1)CC(=O)N2
ZINC66057837	N#Cc1cccc(NC(=O)CN2C(=O)N[C@]3(CCc4ccccc4C3)C2=O)c1
ZINC66341548	CCNC(=O)NC1(C(=O)N2CCN(C(=O)C3CCCCC3)CC2)CCCC1
ZINC66405047	Cc1ccccc1[C@H](C#N)NC(=O)CN1C(=O)N[C@@]2(C[C@H](C)CC(C)(C)C2)C1=O
ZINC66856617	O=C(Nc1ccc(-c2nnc3n2CCCC3)cc1)c1cc2ccccc2c(=O)[nH]1
ZINC67288559	Cc1ccc(C)c([C@H]2NC(=O)N(CC(=O)NC3CCCCC3)C3=C2C(=O)OC3)c1
ZINC67320951	Cc1cccc([C@H]2c3c(nc(N4CCC(C)CC4)[nH]c3=O)NC(=O)[C@H]2C#N)c1
ZINC67320961	Cc1ccc([C@@H]2c3c(nc(N4CCC(C)CC4)[nH]c3=O)NC(=O)[C@H]2C#N)cc1
ZINC67430319	O=C(Nc1cc([N+](=O)[O-])ccc1F)C(=O)N[C@H]1CCc2cc(Cl)ccc21
ZINC01092151	COc1ccc(/C=N/NC(=O)[C@@H](C)Nc2ccc3ccccc3c2)cc1OCC(N)=O
ZINC04237008	C=CCOC(=O)Nc1nc2c(s1)C[C@H]1[C@@](C)(CC[C@@H](O)[C@@]1(C)CO)[C@@H]2CC(=O)NC(C)C
ZINC01048234	COc1cccc(/C=N/NC(=O)[C@@H]2CCCN(C(=S)NN[C@H]3C[C@@H]4C=C[C@H]3C4)CC2)c1O
ZINC05548735	CC(C)c1nnc(SCc2ccccc2CSc2nnc(C(C)C)n2N)n1N
ZINC08231996	N#Cc1c(CCCNC(=O)c2oc3ccccc3c2COc2ccccc2)n[nH]c1N
ZINC08629655	NC(=O)c1c(NC(=O)COC(=O)CNC(=O)c2sc3ccccc3c2Cl)sc2c1CCC2
ZINC01198794	O=C(N/N=C/c1ccc(O)cc1O)c1[nH]c2ccc([N+](=O)[O-])cc2c1-c1ccccc1
ZINC09229791	CCc1c(C)sc(NC(=S)NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)c1C(N)=O
ZINC09724644	C[C@@H]1CCc2c(sc(NC(=O)CSc3nnc(NCc4ccco4)s3)c2C(N)=O)C1
ZINC12296868	COc1ccc2[nH]c(C(=O)N[C@@H](C)C(=O)NCCc3c[nH]c4ccccc34)cc2c1OC
ZINC05727578	CC/C(=N\NC(=O)CCC(=O)N/N=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1
ZINC12896444	Nc1nc(N)nc(COC(=O)/C(=C/c2ccc(OC(F)F)cc2)c2ccccc2)n1
ZINC16046264	CC(C)CN(C(=O)CNc1ccccc1Cl)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC16382411	COC(=O)c1ccccc1NC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(Cl)c(O)c(Br)c1
ZINC19353190	COCCNC(=O)c1c(NC(=O)COC(=O)c2cccc(C)c2N)sc2c1CCCC2
ZINC21323068	C/C(=N\Nc1nnc(SCC(=O)NCc2ccc(F)cc2)n1N)c1ccc(Br)cc1
ZINC21385581	CCCCn1c(N)c(N(CC)CC(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c(=O)[nH]c1=O
ZINC21698858	O=C(CNc1cc([N+](=O)[O-])ccc1NCCO)Nc1cccc(I)c1
ZINC21737623	COc1ccc(CNc2nnc(SCC(=O)Nc3sc4c(c3C(N)=O)CCCC4)s2)cc1
ZINC16804736	NC(=O)CCN(C(=O)COC(=O)c1nc(Cl)c(Cl)c(N)c1Cl)c1ccc(F)cc1
ZINC22135315	Cc1cc([N+](=O)[O-])c2[nH]c(C(=O)N/N=C/c3ccc(O)cc3O)c(-c3ccccc3)c2c1
ZINC23915054	Cc1ccc(S(=O)(=O)N[C@@H](CC(C)C)C(=O)NNC(=O)c2cc(Br)c[nH]2)cc1
ZINC32058450	C=CCNC(=O)Nc1ccc(NC(=O)/C=C/c2ccc(S(=O)(=O)NC(C)C)cc2)cc1
ZINC32603043	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cc2ccccc2oc1=O)C(N)=O
ZINC36499272	CC(C)(C)CC(C)(C)NC(=O)[C@@H](c1c(O)cc(O)cc1O)N(C=O)Cc1ccco1
ZINC36500467	CC(C)(C)NC(=O)[C@H](c1ccc(O)cc1)N(Cc1ccco1)C(=O)c1c(O)cccc1O
ZINC36500703	CCCCNC(=O)[C@H](c1cccc(O)c1)N(Cc1ccco1)C(=O)c1cccc(O)c1O
ZINC36502719	CCCCNC(=O)[C@H](c1c(O)cc(O)cc1O)N(Cc1ccco1)C(=O)C=C(C)C
ZINC36505027	C=C(C)C(=O)N(Cc1ccco1)[C@@H](C(=O)NCCCC)c1c(O)cc(O)cc1O
ZINC36543941	O=C(NC1CCCCC1)[C@@H](c1c(O)cc(O)cc1O)N(C(=O)c1ccco1)c1ccccc1Cl
ZINC36571185	CCCN(C(=O)c1c(O)cccc1O)[C@@H](C(=O)NC(C)(C)C)c1ccc(O)c(OC)c1
ZINC36601628	C=C(C)C(=O)N(Cc1ccc(C)o1)[C@H](C(=O)NC(C)(C)C)c1c(O)cc(O)cc1O
ZINC36601635	C=C(C)C(=O)N(Cc1ccc(C)o1)[C@H](C(=O)NCCCC)c1c(O)cc(O)cc1O
ZINC01807362	CC(C)c1nnc(SCc2ccc(CSc3nnc(C(C)C)n3N)cc2)n1N
ZINC39252477	COc1ccc2[nH]cc(CCN3C[C@H](C(=O)N[C@H]4NN[C@H](CC(C)C)S4)CC3=O)c2c1
ZINC39252482	COc1ccc2[nH]cc(CCN3C[C@H](C(=O)N[C@@H]4NN[C@H](CC(C)C)S4)CC3=O)c2c1
ZINC39544368	CCC(C)(C)[C@H]1CC[C@@]2(CC1)NC(=O)N(CC(=O)Nc1ccc3[nH]c(=O)[nH]c3c1)C2=O
ZINC39916043	OC[C@@H]1O[C@@H](Sc2nc3ccccc3n2CCCOc2cccc3ccccc23)[C@@H](O)[C@H](O)[C@@H]1O
ZINC40527307	CCOCCCNC(=O)c1c(NC(=O)c2cc(-c3cccc(C)c3O)n[nH]2)sc2c1CCC2
ZINC40784451	Nc1c(NNC(=O)c2ccc(Cl)cc2)ncnc1Oc1ccc(Br)c2cccnc12
ZINC45947480	Cc1cc(Br)ccc1NC(=O)CNC(=O)C1=NN(c2ccccc2)[C@@H](C(N)=O)C1
ZINC15967815	CCc1ccc2c(c1)[C@@]1(N[C@H](Cc3ccc(O)c(O)c3)[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@@H]31)C(=O)N2
ZINC15967815	CCc1ccc2c(c1)[C@@]1(N[C@H](Cc3ccc(O)c(O)c3)[C@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]31)C(=O)N2
ZINC36610244	COc1cc([C@@H](C(=O)NC2CCCCC2)N(C(=O)c2c(O)cccc2O)c2ccccc2)ccc1O
ZINC40824368	Cc1c(C(=O)Nc2ccc(/N=N/c3ccccc3)cc2)oc2c1/C(=N/NC(N)=O)CCC2
ZINC58361369	CC(=O)Nc1cc2ccccc2cc1C(=O)O[C@@H](C)C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC27313908	CCCCn1c(N)c(N(CC(=O)NC2CCCC2)Cc2ccccc2)c(=O)[nH]c1=O
ZINC06336492	O=C(CSc1n[nH]c(N/N=C/c2ccccc2O)n1)NCc1ccccc1Cl
ZINC59815737	C=CCNC(=O)[C@H](C)Sc1n[nH]c(N/N=C/c2cc(Cl)cc(Cl)c2O)n1
ZINC39561970	CCN1[C@@H](CC(=O)Nc2ccccc2C)NN[C@@H]1SCc1nc2ccccc2c(=O)[nH]1
ZINC66085804	CC(C)(C)NC(=O)c1ccc(NCC(=O)Nc2ccc(C(=O)NCc3ccco3)cc2)cc1
ZINC03288552	O=C(CN1C(=O)N[C@]2(CCc3ccccc32)C1=O)Nc1ccccc1Cl
ZINC01427790	CCOc1ccc([C@H]2C(C#N)=C(N)Oc3c2c(=O)n(C)c2ccccc32)cc1
ZINC00871866	Cc1cccc(C(=O)N2N=C(c3ccncc3)C[C@@]2(O)C(F)(F)F)c1O
ZINC04176363	Cc1ccc(-n2c(=O)c3c4c(sc3n(CC(N)=O)c2=O)CCCCC4)cc1C
ZINC00715686	N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1ccc(OC(F)F)cc1
ZINC02258032	Cc1cc2c(c(=O)n1Cc1ccco1)[C@H](c1ccc(Cl)cc1)C(C#N)=C(N)O2
ZINC06078958	C[C@@H]1CCCC[C@H]1NC(=O)CN1C(=O)N[C@]2(CCc3ccccc3C2)C1=O
ZINC06587761	Cc1ccc(NC(=O)CN2C(=O)N[C@]3(CCc4ccccc43)C2=O)c(F)c1
ZINC08045530	Cc1sc2nc(CC(=O)N/N=C3/C[C@H](C)CC(C)(C)C3)[nH]c(=O)c2c1C
ZINC08745540	C[C@@H]1CCCC[C@@H]1NC1=NN/C(=C2/C=NC(C(=O)N3CCCC3)=C2)CS1
ZINC03252234	Cc1nc2sc3c(c2c(=O)n1/N=C/c1ccc(O)c(O)c1)CCCCC3
ZINC12324439	Cc1ccc(-n2cc3c(c2-c2ccc(F)cc2)c(=O)n(C)c(=O)n3C)cc1N
ZINC12420082	CCCCN1C(=O)[C@@]2(C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)c2ccccc21
ZINC12555374	Cc1ccc(O[C@@H](C)C(=O)N2CCc3c(sc4ncnc(N)c34)C2)cc1
ZINC13100248	C[C@]1(c2ccccc2)NC(=O)N(NC(=O)c2sc3ccccc3c2Cl)C1=O
ZINC14473283	CNC(=O)c1cccc2c1N[C@@H](c1cc([N+](=O)[O-])ccc1Cl)[C@H]1CC=C[C@H]21
ZINC24945572	CC(=O)c1c(C)[nH]c(C(=O)Nc2cc3c(cc2Br)OCCO3)c1C
ZINC27904873	CCOc1cc([C@@H]2C3=C(CCCC3=O)Nc3ccccc3N2C(C)=O)ccc1O
ZINC32779178	C[C@H](c1nc2ccccc2s1)N1CCN(c2cc(Cl)nc(N)n2)CC1
ZINC18097460	CC1=C(C(=O)Nc2ccc(C)cn2)[C@@H](c2cccnc2)C2=C(CC(C)(C)CC2=O)N1
ZINC34792481	COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H](c2ccc3c(c2)OCCO3)N1
ZINC03288783	Cc1[nH]c2ccccc2c1C(=O)CN1C(=O)N[C@@]2(C[C@@H](C)CC(C)(C)C2)C1=O
ZINC38995151	CC1=C[C@H](C(=O)N/N=C/c2cc(I)cc(C)c2O)N=N1
ZINC39315625	Cc1cc(C)c2c(n1)S[C@H]1C2=NC(=O)C2=C1OC(N)=C(C#N)[C@H]2c1ccccc1
ZINC39447253	Cc1cc(C)cc(N2N=C[C@H]3[C@@H](NC(=O)c4c[nH]c(C)cc4=O)CCC[C@H]32)c1
ZINC39464316	COc1cc2c(cc1SC)[C@H]1CO[P@@](=O)(c3ccccc3O)NN1CC2
ZINC39464499	CCOc1cc2c(cc1F)[C@@H]1CO[P@@](=O)(c3ccccc3O)NN1CC2
ZINC39469355	CCO[P@]1(=O)NN2C[C@@H]3C=C(Cl)C(c4ccccc4O)=C[C@@H]3C[C@@H]2CO1
ZINC06236206	C[C@@H]1CC(C)(C)C[C@@]2(C1)NC(=O)N(CC(=O)Nc1ccc3c(c1)CCC3)C2=O
ZINC36692957	Cc1cccc(C)c1NC(=O)CN1C(=O)N[C@@]2(C[C@@H](C)CC(C)(C)C2)C1=O
ZINC39747572	C[C@H]1CN/C(=[NH+]\C(=O)Cn2c([S-])nnc2-c2ccc(Cl)cc2)S1
ZINC39909777	O=C([O-])c1cc(N2C(=O)/C(=C/C3=c4ccccc4=[NH+]C3)SC2=S)ccc1O
ZINC39943320	COC(=O)C1=C(N)O[C@@H]2N=NC(C)=C2[C@@H]1c1ccc(Br)cc1
ZINC44744872	O=C(/C=C/c1ccc(I)o1)Nc1ccc2oc(=O)[nH]c2c1
ZINC45773644	Nc1cccc2c1C(=O)N(CN1CCN(c3cccc(Cl)c3)CC1)C2=O
ZINC25158204	C#Cc1cccc(NC(=O)CN2C(=O)N[C@]3(C[C@@H](C)CC(C)(C)C3)C2=O)c1
ZINC12445804	Cc1cc(Br)cc2c1N(C)C(=O)/C2=N\NC(=O)c1cccc(O)c1
ZINC50956290	NC(=O)[C@H]1CN(c2ncnc3cc(-c4ccc(Cl)cc4)sc23)CCO1
ZINC36365561	CN1C(=O)c2ccccc2[C@H](C(=O)N=c2[nH]c3ccccc3[nH]2)[C@@H]1c1ccccc1
ZINC05680803	Cc1cc(C)cc(NC(=O)CN2C(=O)N[C@]3(CCCc4sccc43)C2=O)c1
ZINC19669520	CC(=O)N1CCc2cc(N[C@H](C)c3nc4sc(C)c(C)c4c(=O)[nH]3)ccc21
ZINC05975380	O=C(NNC(=O)[C@@]12C[C@@H]3C[C@@H](C[C@@](Cl)(C3)C1)C2)[C@H]1COc2ccccc2O1
ZINC53475950	C[C@@H]1CC(C)(C)C[C@@]2(C1)NC(=O)N(CC(=O)N[C@@H]1CCc3ccccc31)C2=O
ZINC47285501	CC1(C)Oc2ccc(NC(=O)c3c[nH]c(=S)n3-c3ccccc3)cc2O1
ZINC20727860	O=C1Nc2c(Cl)cccc2[C@]12CC(O)=Nc1c2cnn1-c1ccc(Cl)cc1
ZINC20727860	O=C1C[C@@]2(C(=O)Nc3c(Cl)cccc32)c2cnn(-c3ccc(Cl)cc3)c2N1
ZINC20745745	Cc1ccccc1-n1ncc2c1N=C(O)C[C@@]21C(=O)Nc2c(Cl)cccc21
ZINC20745745	Cc1ccccc1-n1ncc2c1NC(=O)C[C@@]21C(=O)Nc2c(Cl)cccc21
ZINC00985814	COc1ccccc1[C@H]1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3Cl)c21
ZINC04659782	N#CC1=C(N)Oc2[nH]nc(-c3ccc(Br)cc3)c2[C@@H]1c1ccncc1
ZINC39024722	O=C1C=CN(c2ccccc2)N[C@@H]1C(=O)/N=c1/[nH]c2ccc(F)cc2s1
ZINC65087322	NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)c1ccn(-c2ccccc2Cl)n1
ZINC06894712	C[N@H+](CCCNC(=O)[C@H]1C[C@@H]2CCC[N@@H+]2[C@]12C(=O)Nc1ccccc12)C1CCCCC1
ZINC12130945	OC[C@@H]1CCCN(c2[nH+]c3cc4c(cc3cc2C[NH2+]Cc2cccc(C(F)(F)F)c2)OCO4)C1
ZINC30538019	CCOC(=O)[NH+]=c1ccc2c(C[N@H+](C)CC(=O)Nc3ccc(C)cc3)cc(O)oc-2c1
ZINC38966346	CC(=O)Nc1ccc(N[C@@H]2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2cc(C)ccc2C)cc1
ZINC39205118	Cc1cccc2c1=[NH+][C@@H]1N=C(N/N=C/c3cc(Cl)cc(Br)c3O)[NH+]=NC=21
ZINC39412407	Oc1c(Br)cc(/C=N/NC2=N[C@@H]3[NH+]=c4ccccc4=C3N=[NH+]2)cc1Br
ZINC39594847	CSCCC(=O)N1C[C@H](C(=O)NC[C@H](c2cccnc2)[NH+]2CCCC2)C2(CC[NH2+]CC2)C1
ZINC39628645	Cc1ccsc1C(=O)N1C[C@H](C(=O)NCCC[N@H+]2CCCC[C@@H]2C)C2(CC[NH2+]CC2)C1
ZINC39662943	O=C(N[C@@H]1C[N@H+]2CC[C@@H]1CC2)[C@@H]1CN(C(=O)[C@@H]2CCCN2C(=O)C(F)(F)F)CC12CC[NH2+]CC2
ZINC39663193	O=C(N[C@@H]1C[N@H+]2CC[C@@H]1CC2)[C@H]1CN(C(=O)c2cc(Cl)ccc2F)CC12CC[NH2+]CC2
ZINC39663231	Cc1cc(C(=O)N2C[C@H](C(=O)N[C@H]3C[N@H+]4CC[C@@H]3CC4)C3(CC[NH2+]CC3)C2)n(C(C)(C)C)n1
ZINC39663240	CCn1nc(C)c(Br)c1C(=O)N1C[C@@H](C(=O)N[C@H]2C[N@H+]3CC[C@@H]2CC3)C2(CC[NH2+]CC2)C1
ZINC39663241	O=C(N[C@@H]1C[N@H+]2CC[C@@H]1CC2)[C@H]1CN(C(=O)[C@H]2COc3ccccc3O2)CC12CC[NH2+]CC2
ZINC39663242	O=C(N[C@@H]1C[N@H+]2CC[C@@H]1CC2)[C@H]1CN(C(=O)[C@@H]2COc3ccccc3O2)CC12CC[NH2+]CC2
ZINC39663244	O=C(N[C@@H]1C[N@H+]2CC[C@@H]1CC2)[C@@H]1CN(C(=O)[C@@H]2COc3ccccc3O2)CC12CC[NH2+]CC2
ZINC39664131	CC[C@H](C(=O)N1C[C@H](C(=O)NC[C@@H](c2ccc(OC)cc2)[NH+]2CCCC2)C2(CC[NH2+]CC2)C1)c1ccccc1
ZINC39664133	CC[C@H](C(=O)N1C[C@@H](C(=O)NC[C@@H](c2ccc(OC)cc2)[NH+]2CCCC2)C2(CC[NH2+]CC2)C1)c1ccccc1
ZINC39670107	Cc1ccn2cc(CNC(=O)[C@H]3CN(C(=O)c4ccc(Br)c(C)c4)CC34CC[NH2+]CC4)[nH+]c2c1
ZINC39670122	Cc1ccn2cc(CNC(=O)[C@@H]3CN(C(=O)c4cccn4C)CC34CC[NH2+]CC4)[nH+]c2c1
ZINC39670194	Cc1ccn2cc(CNC(=O)[C@H]3CN(C(=O)[C@@H]4COc5ccccc5O4)CC34CC[NH2+]CC4)[nH+]c2c1
